date;time;subject;blocknum;trialnum;trialcode;response;correct;cor2;latency;stimulusnumber1;stimulusitem1
02/12/2023;12:05:00;102;8;4;solution_visAHA;Orange;0;1;22501;1;Bitte tippe Dein (damaliges) Lýsungswort hier ein:
02/12/2023;12:05:00;102;9;2;visCATCH;4;1;;3827;53;3PVIP_024_mole_gauss2.jpg
02/12/2023;12:05:00;102;10;2;visAHA;2;1;;2408;16;1PVIP_016_crone_gauss1.5.jpg
02/12/2023;12:05:00;102;10;3;solution_solved_VIS;4;0;;2478;1;Aufgabe im MRT GELýST?         1 = definitiv gelýst      2 = vermutlich gelýst      3 = weiý ich nicht mehr      4 = vermutlich NICHT gelýst      5 = definitiv NICHT gelýst
02/12/2023;12:05:00;102;11;2;visCATCH;5;1;;4424;4;3PVIP_035_basket_gauss3.jpg
02/12/2023;12:05:00;102;12;2;visAHA;3;1;;3631;116;2PVIP_111_snake3.jpg
02/12/2023;12:05:00;102;12;3;solution_solved_VIS;5;0;;5080;1;Aufgabe im MRT GELýST?         1 = definitiv gelýst      2 = vermutlich gelýst      3 = weiý ich nicht mehr      4 = vermutlich NICHT gelýst      5 = definitiv NICHT gelýst
02/12/2023;12:05:00;102;13;2;visAHA;2;1;;1878;90;2PVIP_085_frog5.jpg
02/12/2023;12:05:00;102;13;3;solution_solved_VIS;2;1;;2713;1;Aufgabe im MRT GELýST?         1 = definitiv gelýst      2 = vermutlich gelýst      3 = weiý ich nicht mehr      4 = vermutlich NICHT gelýst      5 = definitiv NICHT gelýst
02/12/2023;12:05:00;102;13;4;solution_visAHA;Frosch;0;1;3161;1;Bitte tippe Dein (damaliges) Lýsungswort hier ein:
02/12/2023;12:05:00;102;14;2;visCATCH;3;0;;3273;13;3PVIP_044_caterpillar.new_gauss3.jpg
02/12/2023;12:05:00;102;14;3;solution_solved_VIScatch;5;1;;1319;1;Aufgabe im MRT GELýST?         1 = definitiv gelýst      2 = vermutlich gelýst      3 = weiý ich nicht mehr      4 = vermutlich NICHT gelýst      5 = definitiv NICHT gelýst
02/12/2023;12:05:00;102;15;2;visAHA;6;0;;1815;120;2PVIP_115_woman.jpg
02/12/2023;12:05:00;102;16;2;visCATCH;3;0;;7337;40;3PVIP_010_flamingo_gauss3.jpg
02/12/2023;12:05:00;102;16;3;solution_solved_VIScatch;4;1;;2050;1;Aufgabe im MRT GELýST?         1 = definitiv gelýst      2 = vermutlich gelýst      3 = weiý ich nicht mehr      4 = vermutlich NICHT gelýst      5 = definitiv NICHT gelýst
02/12/2023;12:05:00;102;17;2;visAHA;2;1;;6487;43;1PVIP_043_snail.new_gauss2.5.jpg
02/12/2023;12:05:00;102;17;3;solution_solved_VIS;3;1;;1461;1;Aufgabe im MRT GELýST?         1 = definitiv gelýst      2 = vermutlich gelýst      3 = weiý ich nicht mehr      4 = vermutlich NICHT gelýst      5 = definitiv NICHT gelýst
02/12/2023;12:05:00;102;17;4;solution_visAHA;Mensch;0;0;6444;1;Bitte tippe Dein (damaliges) Lýsungswort hier ein:
02/12/2023;12:05:00;102;18;2;visCATCH;5;1;;3051;3;3PVIP_034_axe.new_gauss2.jpg
02/12/2023;12:05:00;102;19;2;visAHA;3;1;;5544;27;1PVIP_027_squirrel.new_gauss4.jpg
02/12/2023;12:05:00;102;19;3;solution_solved_VIS;5;0;;628;1;Aufgabe im MRT GELýST?         1 = definitiv gelýst      2 = vermutlich gelýst      3 = weiý ich nicht mehr      4 = vermutlich NICHT gelýst      5 = definitiv NICHT gelýst
02/12/2023;12:05:00;102;20;2;visCATCH;2;0;;2413;50;3PVIP_021_leaf_gauss5.jpg
02/12/2023;12:05:00;102;20;3;solution_solved_VIScatch;6;1;;326;1;Aufgabe im MRT GELýST?         1 = definitiv gelýst      2 = vermutlich gelýst      3 = weiý ich nicht mehr      4 = vermutlich NICHT gelýst      5 = definitiv NICHT gelýst
02/12/2023;12:05:00;102;21;2;visAHA;2;1;;4457;17;1PVIP_017_deer2_gauss1.jpg
02/12/2023;12:05:00;102;21;3;solution_solved_VIS;2;1;;1529;1;Aufgabe im MRT GELýST?         1 = definitiv gelýst      2 = vermutlich gelýst      3 = weiý ich nicht mehr      4 = vermutlich NICHT gelýst      5 = definitiv NICHT gelýst
02/12/2023;12:05:00;102;21;4;solution_visAHA;Reh;0;;2166;1;Bitte tippe Dein (damaliges) Lýsungswort hier ein:
02/12/2023;12:05:00;102;22;2;visCATCH;2;0;;4231;32;3PVIP_002_cockpit_gauss3.jpg
02/12/2023;12:05:00;102;22;3;solution_solved_VIScatch;3;0;;2031;1;Aufgabe im MRT GELýST?         1 = definitiv gelýst      2 = vermutlich gelýst      3 = weiý ich nicht mehr      4 = vermutlich NICHT gelýst      5 = definitiv NICHT gelýst
02/12/2023;12:05:00;102;22;4;solution_visCATCH;Kino;0;2;5393;1;Bitte tippe Dein (damaliges) Lýsungswort hier ein:
02/12/2023;12:05:00;102;23;2;visAHA;5;0;;4793;49;1PVIP_049_turtle_gauss4.jpg
02/12/2023;12:05:00;102;24;2;visAHA;6;0;;2744;86;2PVIP_080_ear_gauss2.jpg
02/12/2023;12:05:00;102;25;2;visAHA;5;0;;3892;55;1PVIP_082_erdbeere_gauss1.jpg
02/12/2023;12:05:00;102;26;2;visAHA;5;0;;5499;95;2PVIP_090_hawk_gauss4.jpg
02/12/2023;12:05:00;102;27;2;visAHA;6;0;;2244;82;2PVIP_076_computer.new_gauss5.jpg
02/12/2023;12:05:00;102;28;2;visAHA;2;1;;6076;65;2PVIP_059_bear.new_gauss4.jpg
02/12/2023;12:05:00;102;28;3;solution_solved_VIS;5;0;;939;1;Aufgabe im MRT GELýST?         1 = definitiv gelýst      2 = vermutlich gelýst      3 = weiý ich nicht mehr      4 = vermutlich NICHT gelýst      5 = definitiv NICHT gelýst
02/12/2023;12:05:00;102;29;2;visAHA;6;0;;2223;109;2PVIP_104_piano.jpg
02/12/2023;12:05:00;102;30;2;visAHA;3;1;;2882;61;2PVIP_055_affe_gauss4.jpg
02/12/2023;12:05:00;102;30;3;solution_solved_VIS;4;0;;1728;1;Aufgabe im MRT GELýST?         1 = definitiv gelýst      2 = vermutlich gelýst      3 = weiý ich nicht mehr      4 = vermutlich NICHT gelýst      5 = definitiv NICHT gelýst
02/12/2023;12:05:00;102;31;2;visAHA;2;1;;4628;19;1PVIP_019_elephant1_gauss2.jpg
02/12/2023;12:05:00;102;31;3;solution_solved_VIS;6;0;;489;1;Aufgabe im MRT GELýST?         1 = definitiv gelýst      2 = vermutlich gelýst      3 = weiý ich nicht mehr      4 = vermutlich NICHT gelýst      5 = definitiv NICHT gelýst
02/12/2023;12:05:00;102;32;2;visCATCH;6;1;;5304;47;3PVIP_017_iron_gauss3.jpg
02/12/2023;12:05:00;102;33;2;visAHA;3;1;;6837;24;1PVIP_024_hamster2_gauss1.5.jpg
02/12/2023;12:05:00;102;33;3;solution_solved_VIS;4;0;;2908;1;Aufgabe im MRT GELýST?         1 = definitiv gelýst      2 = vermutlich gelýst      3 = weiý ich nicht mehr      4 = vermutlich NICHT gelýst      5 = definitiv NICHT gelýst
02/12/2023;12:05:00;102;34;2;visAHA;5;0;;4870;93;2PVIP_088_gun.jpg
02/12/2023;12:05:00;102;35;2;visCATCH;2;0;;1488;22;3PVIP_054_nashorn_gauss4.jpg
02/12/2023;12:05:00;102;35;3;solution_solved_VIScatch;2;0;;1151;1;Aufgabe im MRT GELýST?         1 = definitiv gelýst      2 = vermutlich gelýst      3 = weiý ich nicht mehr      4 = vermutlich NICHT gelýst      5 = definitiv NICHT gelýst
02/12/2023;12:05:00;102;35;4;solution_visCATCH;Nashorn;0;1;3388;1;Bitte tippe Dein (damaliges) Lýsungswort hier ein:
02/12/2023;12:05:00;102;36;2;visAHA;3;1;;3627;112;2PVIP_107_scorpion_gauss8.jpg
02/12/2023;12:05:00;102;36;3;solution_solved_VIS;5;0;;995;1;Aufgabe im MRT GELýST?         1 = definitiv gelýst      2 = vermutlich gelýst      3 = weiý ich nicht mehr      4 = vermutlich NICHT gelýst      5 = definitiv NICHT gelýst
02/12/2023;12:05:00;102;37;2;visAHA;2;1;;1524;105;2PVIP_100_mirror_gauss4.jpg
02/12/2023;12:05:00;102;37;3;solution_solved_VIS;2;1;;286;1;Aufgabe im MRT GELýST?         1 = definitiv gelýst      2 = vermutlich gelýst      3 = weiý ich nicht mehr      4 = vermutlich NICHT gelýst      5 = definitiv NICHT gelýst
02/12/2023;12:05:00;102;37;4;solution_visAHA;Spiegel;0;1;3897;1;Bitte tippe Dein (damaliges) Lýsungswort hier ein:
02/12/2023;12:05:00;102;38;2;visCATCH;3;0;;4461;49;3PVIP_020_key_gauss3.jpg
02/12/2023;12:05:00;102;38;3;solution_solved_VIScatch;6;1;;325;1;Aufgabe im MRT GELýST?         1 = definitiv gelýst      2 = vermutlich gelýst      3 = weiý ich nicht mehr      4 = vermutlich NICHT gelýst      5 = definitiv NICHT gelýst
02/12/2023;12:05:00;102;39;2;visAHA;3;1;;6147;75;2PVIP_069_cat2.jpg
02/12/2023;12:05:00;102;39;3;solution_solved_VIS;4;0;;403;1;Aufgabe im MRT GELýST?         1 = definitiv gelýst      2 = vermutlich gelýst      3 = weiý ich nicht mehr      4 = vermutlich NICHT gelýst      5 = definitiv NICHT gelýst
02/12/2023;12:05:00;102;40;2;visCATCH;5;1;;2037;48;3PVIP_018_kameleon1_gauss4.jpg
02/12/2023;12:05:00;102;41;2;visAHA;2;1;;5846;76;2PVIP_070_cauliflower.new_gauss3.jpg
02/12/2023;12:05:00;102;41;3;solution_solved_VIS;4;0;;606;1;Aufgabe im MRT GELýST?         1 = definitiv gelýst      2 = vermutlich gelýst      3 = weiý ich nicht mehr      4 = vermutlich NICHT gelýst      5 = definitiv NICHT gelýst
02/12/2023;12:05:00;102;42;2;visAHA;3;1;;2436;81;2PVIP_075_chair3_gauss5.jpg
02/12/2023;12:05:00;102;42;3;solution_solved_VIS;3;1;;274;1;Aufgabe im MRT GELýST?         1 = definitiv gelýst      2 = vermutlich gelýst      3 = weiý ich nicht mehr      4 = vermutlich NICHT gelýst      5 = definitiv NICHT gelýst
02/12/2023;12:05:00;102;42;4;solution_visAHA;Stuhl;0;1;4967;1;Bitte tippe Dein (damaliges) Lýsungswort hier ein:
02/12/2023;12:05:00;102;43;2;visCATCH;5;1;;1834;19;3PVIP_051_soldier_gauss5.jpg
02/12/2023;12:05:00;102;44;2;visAHA;4;0;;4431;58;1PVIP_118_phone_gauss5.jpg
02/12/2023;12:05:00;102;45;2;visCATCH;6;1;;1429;36;3PVIP_006_dart2_gauss6.jpg
02/12/2023;12:05:00;102;46;2;visAHA;3;1;;2193;67;2PVIP_061_boat_gauss3.jpg
02/12/2023;12:05:00;102;46;3;solution_solved_VIS;3;1;;395;1;Aufgabe im MRT GELýST?         1 = definitiv gelýst      2 = vermutlich gelýst      3 = weiý ich nicht mehr      4 = vermutlich NICHT gelýst      5 = definitiv NICHT gelýst
02/12/2023;12:05:00;102;46;4;solution_visAHA;Boot;0;1;2294;1;Bitte tippe Dein (damaliges) Lýsungswort hier ein:
02/12/2023;12:05:00;102;47;2;visCATCH;3;0;;6303;56;3PVIP_027_pangolins_gauss4.jpg
02/12/2023;12:05:00;102;47;3;solution_solved_VIScatch;5;1;;240;1;Aufgabe im MRT GELýST?         1 = definitiv gelýst      2 = vermutlich gelýst      3 = weiý ich nicht mehr      4 = vermutlich NICHT gelýst      5 = definitiv NICHT gelýst
02/12/2023;12:05:00;102;48;2;visAHA;3;1;;7369;63;2PVIP_057_bag.jpg
02/12/2023;12:05:00;102;48;3;solution_solved_VIS;3;1;;457;1;Aufgabe im MRT GELýST?         1 = definitiv gelýst      2 = vermutlich gelýst      3 = weiý ich nicht mehr      4 = vermutlich NICHT gelýst      5 = definitiv NICHT gelýst
02/12/2023;12:05:00;102;48;4;solution_visAHA;Tasche;0;1;4546;1;Bitte tippe Dein (damaliges) Lýsungswort hier ein:
02/12/2023;12:05:00;102;49;2;visAHA;4;0;;9397;96;2PVIP_091_horn.new_gauss3.jpg
02/12/2023;12:05:00;102;50;2;visAHA;3;1;;2623;68;2PVIP_062_book2_gauss3.5.jpg
02/12/2023;12:05:00;102;50;3;solution_solved_VIS;3;1;;742;1;Aufgabe im MRT GELýST?         1 = definitiv gelýst      2 = vermutlich gelýst      3 = weiý ich nicht mehr      4 = vermutlich NICHT gelýst      5 = definitiv NICHT gelýst
02/12/2023;12:05:00;102;50;4;solution_visAHA;Buch;0;1;2329;1;Bitte tippe Dein (damaliges) Lýsungswort hier ein:
02/12/2023;12:05:00;102;51;2;visAHA;5;0;;2783;56;1PVIP_116_otter.jpg
02/12/2023;12:05:00;102;52;2;visCATCH;6;1;;1752;7;3PVIP_038_beaver2_gauss4.jpg
02/12/2023;12:05:00;102;53;2;visAHA;6;0;;1109;38;1PVIP_038_python2_gauss2.jpg
02/12/2023;12:05:00;102;54;2;visAHA;3;1;;2357;35;1PVIP_035_orchid_gauss1.jpg
02/12/2023;12:05:00;102;54;3;solution_solved_VIS;5;0;;404;1;Aufgabe im MRT GELýST?         1 = definitiv gelýst      2 = vermutlich gelýst      3 = weiý ich nicht mehr      4 = vermutlich NICHT gelýst      5 = definitiv NICHT gelýst
02/12/2023;12:05:00;102;55;2;visCATCH;2;0;;6797;39;3PVIP_009_erdmaennchen_gauss2.jpg
02/12/2023;12:05:00;102;55;3;solution_solved_VIScatch;5;1;;868;1;Aufgabe im MRT GELýST?         1 = definitiv gelýst      2 = vermutlich gelýst      3 = weiý ich nicht mehr      4 = vermutlich NICHT gelýst      5 = definitiv NICHT gelýst
02/12/2023;12:05:00;102;56;2;visAHA;6;0;;956;100;2PVIP_095_knob_gauss1.jpg
02/12/2023;12:05:00;102;57;2;visCATCH;5;1;;1857;31;3PVIP_001_cockatoo.new_gauss4.jpg
02/12/2023;12:05:00;102;58;2;visAHA;3;1;;2689;4;1PVIP_004_beetle1_gauss2.5.jpg
02/12/2023;12:05:00;102;58;3;solution_solved_VIS;6;0;;517;1;Aufgabe im MRT GELýST?         1 = definitiv gelýst      2 = vermutlich gelýst      3 = weiý ich nicht mehr      4 = vermutlich NICHT gelýst      5 = definitiv NICHT gelýst
02/12/2023;12:05:00;102;59;2;visAHA;2;1;;1875;66;2PVIP_060_bee2.jpg
02/12/2023;12:05:00;102;59;3;solution_solved_VIS;2;1;;276;1;Aufgabe im MRT GELýST?         1 = definitiv gelýst      2 = vermutlich gelýst      3 = weiý ich nicht mehr      4 = vermutlich NICHT gelýst      5 = definitiv NICHT gelýst
02/12/2023;12:05:00;102;59;4;solution_visAHA;Biene;0;1;3249;1;Bitte tippe Dein (damaliges) Lýsungswort hier ein:
02/12/2023;12:05:00;102;60;2;visCATCH;6;1;;1778;45;3PVIP_015_horse.new_gauss3.jpg
02/12/2023;12:05:00;102;61;2;visAHA;5;0;;4324;31;1PVIP_031_lizard_gauss2.jpg
02/12/2023;12:05:00;102;62;2;visAHA;3;1;;3380;12;1PVIP_012_cabin2.jpg
02/12/2023;12:05:00;102;62;3;solution_solved_VIS;3;1;;334;1;Aufgabe im MRT GELýST?         1 = definitiv gelýst      2 = vermutlich gelýst      3 = weiý ich nicht mehr      4 = vermutlich NICHT gelýst      5 = definitiv NICHT gelýst
02/12/2023;12:05:00;102;62;4;solution_visAHA;Haus;0;2;2471;1;Bitte tippe Dein (damaliges) Lýsungswort hier ein:
02/12/2023;12:05:00;102;63;2;visAHA;3;1;;3897;8;1PVIP_008_boat2.jpg
02/12/2023;12:05:00;102;63;3;solution_solved_VIS;3;1;;331;1;Aufgabe im MRT GELýST?         1 = definitiv gelýst      2 = vermutlich gelýst      3 = weiý ich nicht mehr      4 = vermutlich NICHT gelýst      5 = definitiv NICHT gelýst
02/12/2023;12:05:00;102;63;4;solution_visAHA;Boot;0;1;2558;1;Bitte tippe Dein (damaliges) Lýsungswort hier ein:
02/12/2023;12:05:00;102;64;2;visCATCH;5;1;;1863;34;3PVIP_004_crab.new_gauss2.jpg
02/12/2023;12:05:00;102;65;2;visAHA;3;1;;5535;50;1PVIP_050_typewriter_gauss5.5.jpg
02/12/2023;12:05:00;102;65;3;solution_solved_VIS;6;0;;287;1;Aufgabe im MRT GELýST?         1 = definitiv gelýst      2 = vermutlich gelýst      3 = weiý ich nicht mehr      4 = vermutlich NICHT gelýst      5 = definitiv NICHT gelýst
02/12/2023;12:05:00;102;66;2;visCATCH;6;1;;853;52;3PVIP_023_lobster_gauss6.jpg
02/12/2023;12:05:00;102;67;2;visAHA;5;0;;1647;69;2PVIP_063_brick_gauss5.jpg
02/12/2023;12:05:00;102;68;2;visAHA;2;1;;1252;92;2PVIP_087_goat_gauss5.jpg
02/12/2023;12:05:00;102;68;3;solution_solved_VIS;2;1;;303;1;Aufgabe im MRT GELýST?         1 = definitiv gelýst      2 = vermutlich gelýst      3 = weiý ich nicht mehr      4 = vermutlich NICHT gelýst      5 = definitiv NICHT gelýst
02/12/2023;12:05:00;102;68;4;solution_visAHA;Ziege;0;1;2133;1;Bitte tippe Dein (damaliges) Lýsungswort hier ein:
02/12/2023;12:05:00;102;69;2;visCATCH;6;1;;2072;6;3PVIP_037_beard2_gauss5.jpg
02/12/2023;12:05:00;102;70;2;visAHA;5;0;;2620;7;1PVIP_007_bird3.jpg
02/12/2023;12:05:00;102;71;2;visCATCH;2;0;;3523;37;3PVIP_007_dolphin.new_gauss3.jpg
02/12/2023;12:05:00;102;71;3;solution_solved_VIScatch;3;0;;275;1;Aufgabe im MRT GELýST?         1 = definitiv gelýst      2 = vermutlich gelýst      3 = weiý ich nicht mehr      4 = vermutlich NICHT gelýst      5 = definitiv NICHT gelýst
02/12/2023;12:05:00;102;71;4;solution_visCATCH;Wasser;0;0;2843;1;Bitte tippe Dein (damaliges) Lýsungswort hier ein:
02/12/2023;12:05:00;102;72;2;visAHA;2;1;;1335;102;2PVIP_097_leopard7.jpg
02/12/2023;12:05:00;102;72;3;solution_solved_VIS;2;1;;252;1;Aufgabe im MRT GELýST?         1 = definitiv gelýst      2 = vermutlich gelýst      3 = weiý ich nicht mehr      4 = vermutlich NICHT gelýst      5 = definitiv NICHT gelýst
02/12/2023;12:05:00;102;72;4;solution_visAHA;Jaguar;0;2;4327;1;Bitte tippe Dein (damaliges) Lýsungswort hier ein:
02/12/2023;12:05:00;102;73;2;visCATCH;6;1;;1244;26;3PVIP_058_violin_gauss5.jpg
02/12/2023;12:05:00;102;74;2;visAHA;2;1;;921;6;1PVIP_006_bike.jpg
02/12/2023;12:05:00;102;74;3;solution_solved_VIS;2;1;;273;1;Aufgabe im MRT GELýST?         1 = definitiv gelýst      2 = vermutlich gelýst      3 = weiý ich nicht mehr      4 = vermutlich NICHT gelýst      5 = definitiv NICHT gelýst
02/12/2023;12:05:00;102;74;4;solution_visAHA;Fahrrad;0;1;3704;1;Bitte tippe Dein (damaliges) Lýsungswort hier ein:
02/12/2023;12:05:00;102;75;2;visCATCH;6;1;;954;2;3PVIP_033_auditorium1_gauss4.jpg
02/12/2023;12:05:00;102;76;2;visAHA;4;0;;1479;22;1PVIP_022_frog2_gauss4.jpg
02/12/2023;12:05:00;102;77;2;visCATCH;3;0;;1484;58;3PVIP_029_pig_gauss3.jpg
02/12/2023;12:05:00;102;77;3;solution_solved_VIScatch;5;1;;437;1;Aufgabe im MRT GELýST?         1 = definitiv gelýst      2 = vermutlich gelýst      3 = weiý ich nicht mehr      4 = vermutlich NICHT gelýst      5 = definitiv NICHT gelýst
02/12/2023;12:05:00;102;78;2;visAHA;2;1;;1220;1;1PVIP_001_accordi2_gauss4.jpg
02/12/2023;12:05:00;102;78;3;solution_solved_VIS;3;1;;1388;1;Aufgabe im MRT GELýST?         1 = definitiv gelýst      2 = vermutlich gelýst      3 = weiý ich nicht mehr      4 = vermutlich NICHT gelýst      5 = definitiv NICHT gelýst
02/12/2023;12:05:00;102;78;4;solution_visAHA;Akkordion;0;1;5432;1;Bitte tippe Dein (damaliges) Lýsungswort hier ein:
02/12/2023;12:05:00;102;79;2;visCATCH;2;0;;1380;54;3PVIP_025_moose.new_gauss5.jpg
02/12/2023;12:05:00;102;79;3;solution_solved_VIScatch;2;0;;1664;1;Aufgabe im MRT GELýST?         1 = definitiv gelýst      2 = vermutlich gelýst      3 = weiý ich nicht mehr      4 = vermutlich NICHT gelýst      5 = definitiv NICHT gelýst
02/12/2023;12:05:00;102;79;4;solution_visCATCH;Elch;0;1;4567;1;Bitte tippe Dein (damaliges) Lýsungswort hier ein:
02/12/2023;12:05:00;102;80;2;visAHA;5;0;;2334;33;1PVIP_033_nashorn_gauss2.jpg
02/12/2023;12:05:00;102;81;2;visCATCH;6;1;;976;44;3PVIP_014_gun_gauss3.jpg
02/12/2023;12:05:00;102;82;2;visAHA;2;1;;1644;25;1PVIP_025_hare.new_gauss2.jpg
02/12/2023;12:05:00;102;82;3;solution_solved_VIS;3;1;;798;1;Aufgabe im MRT GELýST?         1 = definitiv gelýst      2 = vermutlich gelýst      3 = weiý ich nicht mehr      4 = vermutlich NICHT gelýst      5 = definitiv NICHT gelýst
02/12/2023;12:05:00;102;82;4;solution_visAHA;Hase;0;1;1885;1;Bitte tippe Dein (damaliges) Lýsungswort hier ein:
02/12/2023;12:05:00;102;83;2;visCATCH;6;1;;1035;43;3PVIP_013_grasshopper.new_gauss3.jpg
02/12/2023;12:05:00;102;84;2;visAHA;5;0;;699;48;1PVIP_048_tomb_gauss3.jpg
02/12/2023;12:05:00;102;85;2;visAHA;6;0;;721;71;2PVIP_065_bulldog5_gauss3.jpg
02/12/2023;12:05:00;102;86;2;visAHA;4;0;;1113;10;1PVIP_010_brain_gauss3.jpg
02/12/2023;12:05:00;102;87;2;visCATCH;4;1;;1447;46;3PVIP_016_indri_gauss3.jpg
02/12/2023;12:05:00;102;88;2;visAHA;5;0;;1953;47;1PVIP_047_toad2_gauss1.jpg
02/12/2023;12:05:00;102;89;2;visAHA;6;0;;954;83;2PVIP_077_cow3.jpg
02/12/2023;12:05:00;102;90;2;visAHA;5;0;;1286;97;2PVIP_092_jet1_gauss5.jpg
02/12/2023;12:05:00;102;91;2;visAHA;3;1;;3634;13;1PVIP_013_cat.new_gauss3.jpg
02/12/2023;12:05:00;102;91;3;solution_solved_VIS;5;0;;1357;1;Aufgabe im MRT GELýST?         1 = definitiv gelýst      2 = vermutlich gelýst      3 = weiý ich nicht mehr      4 = vermutlich NICHT gelýst      5 = definitiv NICHT gelýst
02/12/2023;12:05:00;102;92;2;visCATCH;3;0;;1264;11;3PVIP_042_bread2_gauss2.jpg
02/12/2023;12:05:00;102;92;3;solution_solved_VIScatch;5;1;;597;1;Aufgabe im MRT GELýST?         1 = definitiv gelýst      2 = vermutlich gelýst      3 = weiý ich nicht mehr      4 = vermutlich NICHT gelýst      5 = definitiv NICHT gelýst
02/12/2023;12:05:00;102;93;2;visAHA;3;1;;2396;32;1PVIP_032_mountain_gauss3.5.jpg
02/12/2023;12:05:00;102;93;3;solution_solved_VIS;6;0;;968;1;Aufgabe im MRT GELýST?         1 = definitiv gelýst      2 = vermutlich gelýst      3 = weiý ich nicht mehr      4 = vermutlich NICHT gelýst      5 = definitiv NICHT gelýst
02/12/2023;12:05:00;102;94;2;visAHA;3;1;;1042;107;2PVIP_102_owl_gauss4.jpg
02/12/2023;12:05:00;102;94;3;solution_solved_VIS;5;0;;813;1;Aufgabe im MRT GELýST?         1 = definitiv gelýst      2 = vermutlich gelýst      3 = weiý ich nicht mehr      4 = vermutlich NICHT gelýst      5 = definitiv NICHT gelýst
02/12/2023;12:05:00;102;95;2;visAHA;2;1;;1371;29;1PVIP_029_leopard3.jpg
02/12/2023;12:05:00;102;95;3;solution_solved_VIS;6;0;;327;1;Aufgabe im MRT GELýST?         1 = definitiv gelýst      2 = vermutlich gelýst      3 = weiý ich nicht mehr      4 = vermutlich NICHT gelýst      5 = definitiv NICHT gelýst
02/12/2023;12:05:00;102;96;2;visAHA;6;0;;852;59;1PVIP_119_sewingmachine.jpg
02/12/2023;12:05:00;102;97;2;visCATCH;6;1;;1021;15;3PVIP_046_christ47_gauss2.jpg
02/12/2023;12:05:00;102;98;2;visAHA;2;1;;732;26;1PVIP_026_hedgehog.new_gauss2.jpg
02/12/2023;12:05:00;102;98;3;solution_solved_VIS;2;1;;314;1;Aufgabe im MRT GELýST?         1 = definitiv gelýst      2 = vermutlich gelýst      3 = weiý ich nicht mehr      4 = vermutlich NICHT gelýst      5 = definitiv NICHT gelýst
02/12/2023;12:05:00;102;98;4;solution_visAHA;Igel;0;1;1762;1;Bitte tippe Dein (damaliges) Lýsungswort hier ein:
02/12/2023;12:05:00;102;99;2;visAHA;5;0;;2775;79;2PVIP_073_coffee_gauss5.jpg
02/12/2023;12:05:00;102;100;2;visAHA;3;1;;2381;119;2PVIP_114_wolf3.jpg
02/12/2023;12:05:00;102;100;3;solution_solved_VIS;6;0;;281;1;Aufgabe im MRT GELýST?         1 = definitiv gelýst      2 = vermutlich gelýst      3 = weiý ich nicht mehr      4 = vermutlich NICHT gelýst      5 = definitiv NICHT gelýst
02/12/2023;12:05:00;102;101;2;visCATCH;3;0;;2859;28;3PVIP_060_wine2_gauss5.jpg
02/12/2023;12:05:00;102;101;3;solution_solved_VIScatch;5;1;;375;1;Aufgabe im MRT GELýST?         1 = definitiv gelýst      2 = vermutlich gelýst      3 = weiý ich nicht mehr      4 = vermutlich NICHT gelýst      5 = definitiv NICHT gelýst
02/12/2023;12:05:00;102;102;2;visAHA;2;1;;1473;9;1PVIP_009_railroad_gauss5.jpg
